imie name
bardzo very
do to
przez throught
i and 
tylko just 
w in 
zdanie, sentence 
jest is
to it 
świetnie great 
myśleć think 
to that 
na on 
kiedy as
znaczyć  mean 
ruszać move 
mieć  have 
także  too 
od from 
albo or 
przez  by 
chcieć  want 
słowo  word 
cóż well 
także also 
kilka some 
położyć put 
inne other 
wszystko all 
tam there 
olbrzymi large 
na up 
dodać add 
uzywać use 
nawet even 
jak how 
tutaj here 
musieć must 
każdy each 
taki such 
który which 
jeśli if 
rodzaj kind 
wiele many
o about 
blisko near 
rzecz thing
ziemia earth 
więcej more 
móc could
powinien should 
najwięcej most 
rosnąc grow 
ciągle still 
niż than
pomiędzy between 
móc may 
trzymać keep 
ostatni last 
pozwolić let
jakiekolwiek any 
myśl thought 
drzewo tree 
cześć part 
krzyż cross 
dostać get 
daleko far 
rysować draw 
tylko only 
nacisnąć press 
każdy every
nasze our 
niewiele few 
proste simple 
razem together 
kilka several 
nosić carry 
spadać  fall 
prowadzić lead  
podstawa base 
pewny  sure 
odpoczynek rest 
las wood 
zrobione done
główny main 
wystarczająco enough 
zwykły plain 
zawierać contain 
przód front
nad above 
chociaż though 
rozwijać develop 
wkrótce  soon 
bezpośredni direct 
poza pose
za behind 
miara measure 
pomnożyć multiply 
nic nothing
wiatr wind 
zostać stay 
koło  wheel 
całkowity complete 
siła force 
teren area 
połowa half 
decydować decide 
skała rock 
powierzchnia  surface 
porządek order 
głęboki  deep 
kawałek  piece
zajęty  busy 
od since 
cały  whole 
samolot  plane 
suchy  dry 
cud  wonder 
lepszy better
prawdziwy  true
podczas  during 
sprawdzić  check 
kształt  shape 
wczesny early 
przynosić  bring 
szybki  fast 
tracić miss 
wypełniać  fill 
sięgać reach 
mniej  less 
wielki  grand
wiek  century 
rozważać consider 
fala wave 
kawałek bit
wybrzeże  coast 
teraźniejszy present 
prawo  law 
cichy  silent
silnik  engine 
wysoki  tall 
piasek  sand 
gleba soil 
szeroki  wide 
żeglować  sail 
przemysł  industry 
wartość  value 
widok view 
koło circle 
jeszcze else
podzielić divide 
zawierać  include 
znaczenie sense 
